lat,lon,amenity,cuisine,fvst:navnelbnr,name,opening_hours,phone,website,brand,brand:wikidata,brand:wikipedia,diet:vegan,diet:vegetarian,takeaway,wheelchair,fvst:name,url,alt_name,facebook,outdoor_seating,payment:credit_cards,toilets,operator,tourism,official_name,capacity,dinner,reservation,contact:facebook,contact:instagram,email,leisure,smoking,table_soccer,opening_hours:seating,branch,drive_through,internet_access,ref:DK:cvr,ref:DK:cvr:pnummer,brewery,fvst:fixme,check_date,opening_hours:kitchen,opening_hours:covid19,description,sport,toilets:wheelchair,opening_hours:url,min_age,phone:restaurant,phone:takeaway,delivery,access:covid19,award:michelin,stars,wikidata,seasonal,wheelchair:description,lunch,note,payment:cash,payment:debit_cards,payment:mobile_phone,shop,level,wikipedia,drink:wine,comment,drink:sake,contact:phone,start_date,music_venue,restaurant,access,cocktails,drink:beer,name:zh,bar,opening_hours:signed,microbrewery,end_date
55.6697106,12.5547131,restaurant,japanese,114786,Sticks'n'Sushi,Fr-Sa 10:00-24:00; Su-Th 10:00-23:00,+45 33237304,http://www.sushi.dk/restauranter/vesterbro.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6722759,12.5690757,restaurant,asian,115075,Wagamama,Su-Th 12:00-21:00; Fr-Sa 12:00-22:00,+45 33750658,https://www.wagamama.dk/restauranter/tivoli,Wagamama,Q503715,en:Wagamama,yes,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6733149,12.5616617,restaurant,steak,112055,Jensen's Bøfhus,08:00-24:00,+45 63134516,https://www.jensens.com/restaurant/koebenhavn-vesterbrogade/,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6734181,12.5553705,restaurant,french,523670,Chez Bruno,Tu-Sa 17:00-23:00,,http://www.chez-bruno.com/,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6719106,12.5562393,restaurant,,770910,Le Basilic,"Tu-Sa 17:30-22:30; Fr-Sa 12:00-15:00, 17:30-22:30",+45 33318305,,,,,,,,no,Restaurant LB,https://www.le-basilic.dk/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6707876,12.5610473,restaurant,,565569,Apropos,Su-Th 09:00-24:00; Fr-Sa 09:00-01:00,+45 33231221,http://cafeapropos.dk/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6690839,12.5573535,restaurant,thai,111936,Ban Gaw,12:00-24:00,+45 33228438,https://bangaw.dk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6692654,12.5577022,restaurant,thai,112176,Porn-Sak,12:00-22:00,+45 33313999,http://www.pornsak.dk/,,,,,,,,,,Pornsak,https://www.facebook.com/pages/Pornsak/133595053366699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6733045,12.5596734,restaurant,,118046,Flora's Steakhouse,Su-Th 11:30-22:00; Fr-Sa 11:30-22:30,+45 33230902,https://www.floras.dk/,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6732568,12.5452292,restaurant,mexican,118114,La Fiesta Mexicana,17:00-01:00,+45 33217750,https://www.lafiestamexicana.dk/,,,,,,yes,no,,,,https://www.facebook.com/pages/La-Fiesta-Mexicana/132926343435134,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
