lat,lon,amenity,cuisine,fvst:navnelbnr,name,opening_hours,phone,website,wheelchair,payment:credit_cards,toilets,fvst:name,facebook,outdoor_seating,takeaway,dinner,lunch,reservation,capacity,note,opening_hours:kitchen,alt_name,fvst:fixme,url,opening_hours:seating,branch,drive_through,brewery,internet_access,check_date,ref:DK:cvr,ref:DK:cvr:pnummer,wikidata,min_age,description,sport,toilets:wheelchair,smoking,access:covid19,operator,email,award:michelin,delivery,wikipedia,changing_table,diet:vegan,diet:vegetarian,internet_access:fee,contact:facebook,contact:instagram,drink:beer,contact:email,stars,opening_hours:bar,name:es,brand,diet:halal,diet:meat,diet:organic,name:en,shop,drink:wine,fixme,internet_access:ssid,cocktails,breakfast,level,payment:cash,payment:contactless,bar,opening_hours:signed,seasonal,access
55.6697106,12.5547131,restaurant,japanese,114786,Sticks'n'Sushi,Fr-Sa 10:00-24:00; Su-Th 10:00-23:00,+45 33237304,http://www.sushi.dk/restauranter/vesterbro.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6820495,12.5222385,school,,,Frederiksberg Tekniske Skole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6856353,12.5376527,restaurant,north_vietnamese,115050,Viet Nam Nam,16:00-23:00,,http://www.viet-namnam.dk/,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6786581,12.5325728,bar,,719930,The Old Irish Pub,,+45 5189 7713,https://oldirishpub.dk/,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.690498,12.5441844,restaurant,turkish,734564,Safir Kebab,Mo-Fr 11:00-24:00; Sa-Su 12:00-24:00,+45 35343470,,limited,,,Safir House,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6732568,12.5452292,restaurant,mexican,118114,La Fiesta Mexicana,17:00-01:00,+45 33217750,https://www.lafiestamexicana.dk/,no,yes,yes,,https://www.facebook.com/pages/La-Fiesta-Mexicana/132926343435134,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.680632,12.5337297,restaurant,italian,115923,La Vecchia Gastronomia Italiana,12:00-23:00,+45 38119333,http://www.lavecchia.dk/,no,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6843632,12.5515978,restaurant,greek,112075,Akropolis,"Mo,Th,Sa 16:00-01:00, Sa-Su 16:00-05:00",,http://www.restaurant-akropolis.dk/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6841005,12.5514227,restaurant,sushi,117073,Nyu Sakura,12:00-22:00,+45 3536 5757,https://www.nyu-sakura.dk/,,,,SAKURA,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6819882,12.5543323,restaurant,danish,130223,Radio,"Tu-Sa 17:30-24:00; Fr-Sa 12:00-15:00,17:30-24:00",+45 25102733,https://restaurantradio.dk/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6759943,12.5329286,restaurant,danish,114963,Allegade 10,10:00-22:00,+45 33311751,http://www.allegade10.dk/,yes,yes,yes,,,yes,,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6844488,12.5541773,restaurant,tapas,559394,Temporada Tapasbodega,We-Sa 15:00-23:00,+45 35351515,https://www.tapas-bar.dk/,,,,,,,,,,,25,"There has been several restaurants at the address, Visent, Da Mario, and others.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6934573,12.547615,restaurant,greek,116773,Kreta,16:00-24:00,,,,,,Kreta Græsk Taverna,,,,,,,,,16:00-22:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6711195,12.5457687,restaurant,regional;smørrebrød,119339,Restaurant Klubben,11:00-23:00,+45 33314015,http://www.restaurant-klubben.dk/,,yes,yes,,https://www.facebook.com/pages/Restaurant-Klubben/132235606835821,yes,,yes,,yes,,,,Tove Ditlevsens Mindehave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6670575,12.5253346,restaurant,,561031,Bjælkehuset,Apr 1-Dec 20 11:00-17:00,+45 36303596,https://www.bjaelke-huset.dk/,,,,,,yes,,,,,,,,,missing position,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6828139,12.5303254,school,,,Skolen på Nyelandsvej,,,,limited,,,,,,,,,,,,,,,http://www.frb-ny.skoleintra.dk/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6742769,12.5503465,restaurant,,118502,Famo 51,Mo-Sa 18:00-22:00,+45 33222250,http://www.famo.dk/,no,,,Carne Famo,,,,,,,,Opening hours are for last seating,,Famo Carne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6723741,12.5506713,restaurant,italian,115373,Famo,Mo-Su 18:00+,+45 33232250,http://www.famo.dk/,no,,,,,,,,,,,,,,,,Mo-Su 18:00-22:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6692157,12.5530946,restaurant,tacos,806337,La Neta Vesterbro,"Mo-Fr 17:00-21:00; Sa,Su 12:00-21:00",+45 31 26 79 18,https://mikkeller.com/locations/la-neta-vesterbro,no,,,,,,,,,,,,,,,,,Vesterbro,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6660465,12.5535148,bar,,712621,Cafe 33,,+4533319019,https://cafe33.dk,,,,,https://www.facebook.com/cafe33b/,yes,,,,,,,,,fvst:no_pos,,,,,Tuborg;Carlsberg,wlan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6672208,12.553453,bar,,992119,Café 42,,+45 33316066,https://bar42.dk/,,,,,,,,,,,,,,,,,,Vesterbro,,,,2021-08-03,41627581,1026200292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6682661,12.5497023,bar,,112695,Vesterbro Vinstue,,+45 33251080,http://vesterbrovinstue.dk/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6692729,12.5496981,bar,,117982,Riesen,,,,no,,,,,,,,,,,,,Riesen Bar,,,,,,,,,27931294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
