lat,lon,amenity,cuisine,fvst:navnelbnr,microbrewery,name,opening_hours,phone,website,wheelchair,wheelchair:description,wikidata,wikipedia,note,smoking,toilets:wheelchair,fvst:name,takeaway,name:en,brand,brand:wikidata,brand:wikipedia,diet:vegan,diet:vegetarian,opening_hours:kitchen,operator,outdoor_seating,opening_hours:cafe,payment:credit_cards,toilets,branch,survey:date,fvst:fixme,reservation,dinner,lunch,capacity,award:michelin,contact:instagram,email,facebook,url,alt_name,happycow:id,breakfast,delivery,tourism,official_name,ref:DK:cvr,contact:facebook,leisure,table_soccer,fee,changing_table,opening_hours:seating,changing_table:location,internet_access,internet_access:fee,organic,stars,drive_through,ref:DK:cvr:pnummer,brewery,check_date,payment:bitcoin,min_age,opening_hours:covid19,sport,access,drinking_water,fee:price,indoor,toilets:disposal,description,opening_hours:url,phone:restaurant,phone:takeaway,access:covid19,male,shop,unisex,layer,check_date:diet:vegetarian,female,toilets:position,level,year,diet:halal,diet:meat,diet:non-vegetarian,diet:organic,drink:beer,opening_hours:signed,seasonal,contact:email,age_limit,yelp,emergency,old_name,opening_hours:bar,name:es,seamark:small_craft_facility:category,seamark:type,payment:cash,payment:debit_cards,payment:mobile_phone,toilets:access,drink:wine,internet_access:ssid,comment,pitch,drink:sake,cocktails,contact:phone,start_date,payment:contactless,short_name,fixme,music_venue,restaurant,gender_segregated,supervised,underground,school,baby_feeding,bar,drink:cocktail,name:zh,diet:dairy_free,diet:egg_free,diet:pescetarian,payment:android_pay,payment:apple_pay,payment:card,payment:gift_card,ref:vatin,lgbtq,instagram,undefined,webshop,drink:cider,drink:gin
55.6902172,12.5639074,restaurant,regional,114128,yes,Nørrebro Bryghus Restaurant,"Mo-Th 12:00-15:00,17:30-22:00; Fr-Sa 12:00-15:00,17:30-23:00",+45 35300530,https://noerrebrobryghus.dk/,yes,Adgang via elevator gennem port. Ingen armstøtte ved toilet,Q7071526,da:Nørrebro Bryghus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6864894,12.5874331,bar,,501959,,Black Swan,"Mo-We 15:00-01:00, Th-Sa 15:00-02:00, Su 15:00-23:00",,http://www.blackswanbar.dk/,no,,,,"Beer bar, 14 taps.",outside,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6501334,12.6119742,restaurant,regional,114043,,Ingolfs Kaffebar,Mo-Tu 10:00-22:00; We-Sa 10:00-24:00; Su 10:00-21:00,+45 32599596,http://www.ingolfskaffebar.dk/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6844609,12.5594799,restaurant,thai,713340,,Thai Pan,16:30-22:00,+45 35360505,http://www.thaipan.dk/,,,,,,,,Thaipan anno 2017,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6742501,12.5730625,restaurant,steak,112944,,Rio Bravo,"Mo-Sa 11:30-05:00,Su 17:00-05:00",+45 33117587,https://www.riobravo.dk/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6697106,12.5547131,restaurant,japanese,114786,,Sticks'n'Sushi,Fr-Sa 10:00-24:00; Su-Th 10:00-23:00,+45 33237304,http://www.sushi.dk/restauranter/vesterbro.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6820495,12.5222385,school,,,,Frederiksberg Tekniske Skole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6831368,12.5291727,college,,,,"Københavns Professionshøjskole, Campus Frederiksberg",,,https://www.kp.dk,,,,,,,,,,"University College Copenhagen, Campus Frederiksberg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6856353,12.5376527,restaurant,north_vietnamese,115050,,Viet Nam Nam,16:00-23:00,,http://www.viet-namnam.dk/,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6722759,12.5690757,restaurant,asian,115075,,Wagamama,Su-Th 12:00-21:00; Fr-Sa 12:00-22:00,+45 33750658,https://www.wagamama.dk/restauranter/tivoli,yes,,,,,,,,yes,,Wagamama,Q503715,en:Wagamama,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
